x,y
1,551
2,559
3,588
4,617
5,637
6,653
7,672
8,679
9,703
10,711
11,728
12,751
13,772
14,784
15,791
16,809
17,822
18,838
19,846
20,865
21,895
22,900
23,920
24,936
25,953
26,981
27,992
28,1004
29,1029
30,1041
31,1057
32,1067
33,1083
34,1102
35,1122
36,1148
37,1170
38,1182
39,1203
40,1211
41,1238
42,1254
43,1260
44,1289
45,1315
46,1324
47,1346
48,1374
49,1382
50,1395
51,1418
52,1434
53,1445
54,1465
55,1479
56,1493
57,1513
58,1531
59,1557
60,1567
61,1585
62,1615
63,1633
64,1640
65,1664
66,1679
67,1685
68,1699
69,1712
70,1732
71,1741
72,1762
73,1779
74,1796
75,1808
76,1821
77,1847
78,1860
79,1883
80,1895
81,1904
82,1926
83,1952
84,1964
85,1993
86,2000
87,2000
88,2000
89,2000
90,2000
91,2000
92,2000
93,2000
94,2000
95,2000
96,2000
97,2000
98,2000
99,2000
100,2000
101,2000
102,2000
103,2000
104,2000
105,2000
106,2000
107,2000
108,2000
109,2000
110,2000
111,2000
112,2000
113,2000
114,2000
115,2000
116,2000
117,2000
118,2000
119,2000
120,2000
121,2000
122,2000
123,2000
124,2000
125,2000
126,2000
127,2000
128,2000
129,2000
130,2000
131,2000
132,2000
133,2000
134,2000
135,2000
136,2000
137,2000
138,2000
139,2000
140,2000
141,2000
142,2000
143,2000
144,2000
145,2000
146,2000
147,2000
148,2000
149,2000
150,2000
151,2000
152,2000
153,2000
154,2000
155,2000
156,2000
157,2000
158,2000
159,2000
160,2000
161,2000
162,2000
163,2000
164,2000
165,2000
166,2000
167,2000
168,2000
169,2000
170,2000
171,2000
172,2000
173,2000
174,2000
175,2000
176,2000
177,2000
178,2000
179,2000
180,2000
181,2000
182,2000
183,2000
184,2000
185,2000
186,2000
187,2000
188,2000
189,2000
190,2000
191,2000
192,2000
193,2000
194,2000
195,2000
196,2000
197,2000
198,2000
199,2000
200,2000
201,2000
202,2000
203,2000
204,2000
205,1993
206,1986
207,1960
208,1932
209,1919
210,1902
211,1891
212,1876
213,1850
214,1841
215,1823
216,1813
217,1788
218,1770
219,1757
220,1747
221,1730
222,1713
223,1685
224,1659
225,1646
226,1616
227,1602
228,1583
229,1560
230,1533
231,1524
232,1513
233,1485
234,1464
235,1442
236,1431
237,1420
238,1398
239,1375
240,1348
241,1319
242,1290
243,1269
244,1254
245,1226
246,1217
247,1196
248,1189
249,1165
250,1152
251,1130
252,1121
253,1109
254,1098
255,1084
256,1072
257,1059
258,1048
259,1040
260,1027
261,1012
262,1002
263,982
264,975
265,967
266,937
267,917
268,891
269,886
270,865
271,845
272,836
273,816
274,802
275,790
276,783
277,768
278,747
279,734
280,728
281,714
282,686
283,672
284,666
285,657
286,646
287,616
288,600
289,581
290,566
291,547
292,522
293,513
294,491
295,481
296,474
297,462
298,436
299,420
300,415
301,395
302,367
303,343
304,327
305,309
306,294
307,279
308,252
309,224
310,200
311,190
312,164
313,156
314,135
315,117
316,103
317,87
318,80
319,71
320,48
321,38
322,31
323,1
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,25
381,30
382,44
383,50
384,64
385,80
386,89
387,102
388,126
389,136
390,153
391,163
392,180
393,205
394,211
395,239
396,266
397,294
398,299
399,329
400,342
401,368
402,397
403,404
404,429
405,434
406,451
407,464
408,470
409,482
410,509
411,522
412,539
413,568
414,586
415,605
416,628
417,606
418,577
419,566
420,545
421,534
422,507
423,483
424,463
425,457
426,448
427,442
428,431
429,421
430,395
431,384
432,379
433,364
434,357
435,332
436,303
437,276
438,249
439,233
440,221
441,191
442,163
443,142
444,116
445,92
446,71
447,64
448,53
449,37
450,11
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,9
475,22
476,40
477,46
478,69
479,95
480,120
481,145
482,153
483,170
484,183
485,193
486,208
487,220
488,232
489,258
490,269
491,291
492,304
493,323
494,332
495,362
496,369
497,384
498,398
499,422
500,435
